 minimum eigenvalues =   1.073564306029724E-011  0.874568058651315     
  0.902020517071802     
 maximum eigenvalues =    2164.41327968012        600.794189933891     
   511.050078064555     
 num eigs kept =           63
 minimum eigenvalues =   1.073564306029724E-011  0.874568058651315     
  0.902020517071802     
 maximum eigenvalues =    2164.41327968012        600.794189933891     
   511.050078064555     
 num eigs kept =           63
 iter    77 lrate =  1.0000000000 LL =  -2.4863642133 nd =  0.0016080678, D =   0.82290E-02  0.82290E-02  (  1.58 s,   0.8 h)
 iter    78 lrate =  1.0000000000 LL =  -2.4861764967 nd =  0.0015937983, D =   0.80575E-02  0.80575E-02  (  1.57 s,   0.8 h)
 iter    79 lrate =  1.0000000000 LL =  -2.4859899141 nd =  0.0015361532, D =   0.78465E-02  0.78465E-02  (  1.58 s,   0.8 h)
 iter    80 lrate =  1.0000000000 LL =  -2.4858138678 nd =  0.0014408706, D =   0.76251E-02  0.76251E-02  (  1.57 s,   0.8 h)
 iter    81 lrate =  1.0000000000 LL =  -2.4856570173 nd =  0.0013148925, D =   0.74079E-02  0.74079E-02  (  3.69 s,   2.0 h)
 iter    82 lrate =  1.0000000000 LL =  -2.4855247038 nd =  0.0011765989, D =   0.72191E-02  0.72191E-02  (  1.93 s,   1.0 h)
 iter    83 lrate =  1.0000000000 LL =  -2.4854175013 nd =  0.0010409957, D =   0.70738E-02  0.70738E-02  (  1.88 s,   1.0 h)
 iter    84 lrate =  1.0000000000 LL =  -2.4853326043 nd =  0.0009244889, D =   0.69636E-02  0.69636E-02  (  1.91 s,   1.0 h)
 iter    85 lrate =  1.0000000000 LL =  -2.4852650934 nd =  0.0008296929, D =   0.68827E-02  0.68827E-02  (  1.73 s,   0.9 h)
 iter    86 lrate =  1.0000000000 LL =  -2.4852104577 nd =  0.0007544571, D =   0.68244E-02  0.68244E-02  (  1.58 s,   0.8 h)
 iter    87 lrate =  1.0000000000 LL =  -2.4851649539 nd =  0.0006976255, D =   0.67816E-02  0.67816E-02  (  1.60 s,   0.8 h)
 iter    88 lrate =  1.0000000000 LL =  -2.4851258924 nd =  0.0006552784, D =   0.67516E-02  0.67516E-02  (  1.59 s,   0.8 h)
 iter    89 lrate =  1.0000000000 LL =  -2.4850912237 nd =  0.0006230820, D =   0.67257E-02  0.67257E-02  (  1.58 s,   0.8 h)
